alias,language,tag_id,tag_label,category
servico comunitario,pt,volunteering,Volunteering & Community Service,interest
ong,pt,volunteering,Volunteering & Community Service,interest
sem fins lucrativos,pt,volunteering,Volunteering & Community Service,interest
impacto social,pt,volunteering,Volunteering & Community Service,interest
humanitario,pt,volunteering,Volunteering & Community Service,interest
entrepreneurship,en,entrepreneurship-funding,Entrepreneurship & Funding,interest
entrepreneur,en,entrepreneurship-funding,Entrepreneurship & Funding,interest
startup,en,entrepreneurship-funding,Entrepreneurship & Funding,interest
startups,en,entrepreneurship-funding,Entrepreneurship & Funding,interest
founder,en,entrepreneurship-funding,Entrepreneurship & Funding,interest
incubator,en,entrepreneurship-funding,Entrepreneurship & Funding,interest
accelerator,en,entrepreneurship-funding,Entrepreneurship & Funding,interest
venture capital,en,entrepreneurship-funding,Entrepreneurship & Funding,interest
seed funding,en,entrepreneurship-funding,Entrepreneurship & Funding,interest
pitch,en,entrepreneurship-funding,Entrepreneurship & Funding,interest
investment,en,entrepreneurship-funding,Entrepreneurship & Funding,interest
small business,en,entrepreneurship-funding,Entrepreneurship & Funding,interest
entrepreneuriat,fr,entrepreneurship-funding,Entrepreneurship & Funding,interest
entrepreneur,fr,entrepreneurship-funding,Entrepreneurship & Funding,interest
startup,fr,entrepreneurship-funding,Entrepreneurship & Funding,interest
fondateur,fr,entrepreneurship-funding,Entrepreneurship & Funding,interest
incubateur,fr,entrepreneurship-funding,Entrepreneurship & Funding,interest
accelerateur,fr,entrepreneurship-funding,Entrepreneurship & Funding,interest
capital risque,fr,entrepreneurship-funding,Entrepreneurship & Funding,interest
amorcage,fr,entrepreneurship-funding,Entrepreneurship & Funding,interest
levee de fonds,fr,entrepreneurship-funding,Entrepreneurship & Funding,interest
investissement,fr,entrepreneurship-funding,Entrepreneurship & Funding,interest
petite entreprise,fr,entrepreneurship-funding,Entrepreneurship & Funding,interest
emprendimiento,es,entrepreneurship-funding,Entrepreneurship & Funding,interest
emprendedor,es,entrepreneurship-funding,Entrepreneurship & Funding,interest
startup,es,entrepreneurship-funding,Entrepreneurship & Funding,interest
fundador,es,entrepreneurship-funding,Entrepreneurship & Funding,interest
incubadora,es,entrepreneurship-funding,Entrepreneurship & Funding,interest
aceleradora,es,entrepreneurship-funding,Entrepreneurship & Funding,interest
capital riesgo,es,entrepreneurship-funding,Entrepreneurship & Funding,interest
capital semilla,es,entrepreneurship-funding,Entrepreneurship & Funding,interest
inversion,es,entrepreneurship-funding,Entrepreneurship & Funding,interest
pequena empresa,es,entrepreneurship-funding,Entrepreneurship & Funding,interest
empreendedorismo,pt,entrepreneurship-funding,Entrepreneurship & Funding,interest
empreendedor,pt,entrepreneurship-funding,Entrepreneurship & Funding,interest
startup,pt,entrepreneurship-funding,Entrepreneurship & Funding,interest
fundador,pt,entrepreneurship-funding,Entrepreneurship & Funding,interest
incubadora,pt,entrepreneurship-funding,Entrepreneurship & Funding,interest
aceleradora,pt,entrepreneurship-funding,Entrepreneurship & Funding,interest
capital de risco,pt,entrepreneurship-funding,Entrepreneurship & Funding,interest
capital semente,pt,entrepreneurship-funding,Entrepreneurship & Funding,interest
investimento,pt,entrepreneurship-funding,Entrepreneurship & Funding,interest
pequena empresa,pt,entrepreneurship-funding,Entrepreneurship & Funding,interest
remote,en,remote-digital-skills,Remote Work & Digital Skills,interest
remote work,en,remote-digital-skills,Remote Work & Digital Skills,interest
work from home,en,remote-digital-skills,Remote Work & Digital Skills,interest
digital skills,en,remote-digital-skills,Remote Work & Digital Skills,interest
freelance,en,remote-digital-skills,Remote Work & Digital Skills,interest
telecommute,en,remote-digital-skills,Remote Work & Digital Skills,interest
online,en,remote-digital-skills,Remote Work & Digital Skills,interest
virtual,en,remote-digital-skills,Remote Work & Digital Skills,interest
hybrid,en,remote-digital-skills,Remote Work & Digital Skills,interest
distributed team,en,remote-digital-skills,Remote Work & Digital Skills,interest
teletravail,fr,remote-digital-skills,Remote Work & Digital Skills,interest
a distance,fr,remote-digital-skills,Remote Work & Digital Skills,interest
travail a distance,fr,remote-digital-skills,Remote Work & Digital Skills,interest
competences numeriques,fr,remote-digital-skills,Remote Work & Digital Skills,interest
freelance,fr,remote-digital-skills,Remote Work & Digital Skills,interest
en ligne,fr,remote-digital-skills,Remote Work & Digital Skills,interest
virtuel,fr,remote-digital-skills,Remote Work & Digital Skills,interest
hybride,fr,remote-digital-skills,Remote Work & Digital Skills,interest
remoto,es,remote-digital-skills,Remote Work & Digital Skills,interest
teletrabajo,es,remote-digital-skills,Remote Work & Digital Skills,interest
trabajo remoto,es,remote-digital-skills,Remote Work & Digital Skills,interest
habilidades digitales,es,remote-digital-skills,Remote Work & Digital Skills,interest
freelance,es,remote-digital-skills,Remote Work & Digital Skills,interest
en linea,es,remote-digital-skills,Remote Work & Digital Skills,interest
virtual,es,remote-digital-skills,Remote Work & Digital Skills,interest
hibrido,es,remote-digital-skills,Remote Work & Digital Skills,interest
remoto,pt,remote-digital-skills,Remote Work & Digital Skills,interest
teletrabalho,pt,remote-digital-skills,Remote Work & Digital Skills,interest
trabalho remoto,pt,remote-digital-skills,Remote Work & Digital Skills,interest
habilidades digitais,pt,remote-digital-skills,Remote Work & Digital Skills,interest
freelancer,pt,remote-digital-skills,Remote Work & Digital Skills,interest
online,pt,remote-digital-skills,Remote Work & Digital Skills,interest
virtual,pt,remote-digital-skills,Remote Work & Digital Skills,interest
hibrido,pt,remote-digital-skills,Remote Work & Digital Skills,interest
research,en,research-academic,Research & Academic Opportunities,interest
academic,en,research-academic,Research & Academic Opportunities,interest
phd,en,research-academic,Research & Academic Opportunities,interest
doctorate,en,research-academic,Research & Academic Opportunities,interest
postdoc,en,research-academic,Research & Academic Opportunities,interest
thesis,en,research-academic,Research & Academic Opportunities,interest
dissertation,en,research-academic,Research & Academic Opportunities,interest
laboratory,en,research-academic,Research & Academic Opportunities,interest
publication,en,research-academic,Research & Academic Opportunities,interest
call for papers,en,research-academic,Research & Academic Opportunities,interest
recherche,fr,research-academic,Research & Academic Opportunities,interest
academique,fr,research-academic,Research & Academic Opportunities,interest
doctorat,fr,research-academic,Research & Academic Opportunities,interest
these,fr,research-academic,Research & Academic Opportunities,interest
postdoctoral,fr,research-academic,Research & Academic Opportunities,interest
laboratoire,fr,research-academic,Research & Academic Opportunities,interest
publication,fr,research-academic,Research & Academic Opportunities,interest
appel a communications,fr,research-academic,Research & Academic Opportunities,interest
investigacion,es,research-academic,Research & Academic Opportunities,interest
academico,es,research-academic,Research & Academic Opportunities,interest
doctorado,es,research-academic,Research & Academic Opportunities,interest
tesis,es,research-academic,Research & Academic Opportunities,interest
posdoctoral,es,research-academic,Research & Academic Opportunities,interest
laboratorio,es,research-academic,Research & Academic Opportunities,interest
publicacion,es,research-academic,Research & Academic Opportunities,interest
convocatoria de articulos,es,research-academic,Research & Academic Opportunities,interest
pesquisa,pt,research-academic,Research & Academic Opportunities,interest
academico,pt,research-academic,Research & Academic Opportunities,interest
doutorado,pt,research-academic,Research & Academic Opportunities,interest
tese,pt,research-academic,Research & Academic Opportunities,interest
pos doutorado,pt,research-academic,Research & Academic Opportunities,interest
laboratorio,pt,research-academic,Research & Academic Opportunities,interest
publicacao,pt,research-academic,Research & Academic Opportunities,interest
chamada de trabalhos,pt,research-academic,Research & Academic Opportunities,interest
exchange,en,international-programs,International Exchange Programs,interest
international,en,international-programs,International Exchange Programs,interest
abroad,en,international-programs,International Exchange Programs,interest
study abroad,en,international-programs,International Exchange Programs,interest
mobility,en,international-programs,International Exchange Programs,interest
visa,en,international-programs,International Exchange Programs,interest
erasmus,en,international-programs,International Exchange Programs,interest
global program,en,international-programs,International Exchange Programs,interest
overseas,en,international-programs,International Exchange Programs,interest
echange,fr,international-programs,International Exchange Programs,interest
international,fr,international-programs,International Exchange Programs,interest
a l'etranger,fr,international-programs,International Exchange Programs,interest
etudes a l'etranger,fr,international-programs,International Exchange Programs,interest
mobilite,fr,international-programs,International Exchange Programs,interest
visa,fr,international-programs,International Exchange Programs,interest
erasmus,fr,international-programs,International Exchange Programs,interest
programme mondial,fr,international-programs,International Exchange Programs,interest
intercambio,es,international-programs,International Exchange Programs,interest
internacional,es,international-programs,International Exchange Programs,interest
en el extranjero,es,international-programs,International Exchange Programs,interest
estudiar en el extranjero,es,international-programs,International Exchange Programs,interest
movilidad,es,international-programs,International Exchange Programs,interest
visa,es,international-programs,International Exchange Programs,interest
erasmus,es,international-programs,International Exchange Programs,interest
programa global,es,international-programs,International Exchange Programs,interest
intercambio,pt,international-programs,International Exchange Programs,interest
internacional,pt,international-programs,International Exchange Programs,interest
no exterior,pt,international-programs,International Exchange Programs,interest
estudar no exterior,pt,international-programs,International Exchange Programs,interest
mobilidade,pt,international-programs,International Exchange Programs,interest
visto,pt,international-programs,International Exchange Programs,interest
erasmus,pt,international-programs,International Exchange Programs,interest
programa global,pt,international-programs,International Exchange Programs,interest
technology,en,technology,Technology,industry
tech,en,technology,Technology,industry
software,en,technology,Technology,industry
engineering,en,technology,Technology,industry
developer,en,technology,Technology,industry
programming,en,technology,Technology,industry
data science,en,technology,Technology,industry
artificial intelligence,en,technology,Technology,industry
machine learning,en,technology,Technology,industry
cybersecurity,en,technology,Technology,industry
cloud,en,technology,Technology,industry
web development,en,technology,Technology,industry
technologie,fr,technology,Technology,industry
informatique,fr,technology,Technology,industry
logiciel,fr,technology,Technology,industry
ingenierie,fr,technology,Technology,industry
developpeur,fr,technology,Technology,industry
programmation,fr,technology,Technology,industry
science des donnees,fr,technology,Technology,industry
intelligence artificielle,fr,technology,Technology,industry
apprentissage automatique,fr,technology,Technology,industry
cybersecurite,fr,technology,Technology,industry
infonuagique,fr,technology,Technology,industry
tecnologia,es,technology,Technology,industry
informatica,es,technology,Technology,industry
software,es,technology,Technology,industry
ingenieria,es,technology,Technology,industry
desarrollador,es,technology,Technology,industry
programacion,es,technology,Technology,industry
ciencia de datos,es,technology,Technology,industry
inteligencia artificial,es,technology,Technology,industry
aprendizaje automatico,es,technology,Technology,industry
ciberseguridad,es,technology,Technology,industry
nube,es,technology,Technology,industry
tecnologia,pt,technology,Technology,industry
informatica,pt,technology,Technology,industry
software,pt,technology,Technology,industry
engenharia,pt,technology,Technology,industry
desenvolvedor,pt,technology,Technology,industry
programacao,pt,technology,Technology,industry
ciencia de dados,pt,technology,Technology,industry
inteligencia artificial,pt,technology,Technology,industry
aprendizado de maquina,pt,technology,Technology,industry
ciberseguranca,pt,technology,Technology,industry
nuvem,pt,technology,Technology,industry
creative,en,creative-media,Creative Arts & Media,industry
arts,en,creative-media,Creative Arts & Media,industry
media,en,creative-media,Creative Arts & Media,industry
design,en,creative-media,Creative Arts & Media,industry
film,en,creative-media,Creative Arts & Media,industry
music,en,creative-media,Creative Arts & Media,industry
photography,en,creative-media,Creative Arts & Media,industry
writing,en,creative-media,Creative Arts & Media,industry
journalism,en,creative-media,Creative Arts & Media,industry
content creation,en,creative-media,Creative Arts & Media,industry
fashion,en,creative-media,Creative Arts & Media,industry
animation,en,creative-media,Creative Arts & Media,industry
creatif,fr,creative-media,Creative Arts & Media,industry
arts,fr,creative-media,Creative Arts & Media,industry
medias,fr,creative-media,Creative Arts & Media,industry
design,fr,creative-media,Creative Arts & Media,industry
cinema,fr,creative-media,Creative Arts & Media,industry
musique,fr,creative-media,Creative Arts & Media,industry
photographie,fr,creative-media,Creative Arts & Media,industry
ecriture,fr,creative-media,Creative Arts & Media,industry
journalisme,fr,creative-media,Creative Arts & Media,industry
creation de contenu,fr,creative-media,Creative Arts & Media,industry
mode,fr,creative-media,Creative Arts & Media,industry
animation,fr,creative-media,Creative Arts & Media,industry
creativo,es,creative-media,Creative Arts & Media,industry
artes,es,creative-media,Creative Arts & Media,industry
medios,es,creative-media,Creative Arts & Media,industry
diseno,es,creative-media,Creative Arts & Media,industry
cine,es,creative-media,Creative Arts & Media,industry
musica,es,creative-media,Creative Arts & Media,industry
fotografia,es,creative-media,Creative Arts & Media,industry
escritura,es,creative-media,Creative Arts & Media,industry
periodismo,es,creative-media,Creative Arts & Media,industry
creacion de contenido,es,creative-media,Creative Arts & Media,industry
moda,es,creative-media,Creative Arts & Media,industry
animacion,es,creative-media,Creative Arts & Media,industry
criativo,pt,creative-media,Creative Arts & Media,industry
artes,pt,creative-media,Creative Arts & Media,industry
midia,pt,creative-media,Creative Arts & Media,industry
design,pt,creative-media,Creative Arts & Media,industry
cinema,pt,creative-media,Creative Arts & Media,industry
musica,pt,creative-media,Creative Arts & Media,industry
fotografia,pt,creative-media,Creative Arts & Media,industry
escrita,pt,creative-media,Creative Arts & Media,industry
jornalismo,pt,creative-media,Creative Arts & Media,industry
criacao de conteudo,pt,creative-media,Creative Arts & Media,industry
moda,pt,creative-media,Creative Arts & Media,industry
animacao,pt,creative-media,Creative Arts & Media,industry
business,en,business-finance,Business & Finance,industry
finance,en,business-finance,Business & Finance,industry
banking,en,business-finance,Business & Finance,industry
accounting,en,business-finance,Business & Finance,industry
marketing,en,business-finance,Business & Finance,industry
sales,en,business-finance,Business & Finance,industry
consulting,en,business-finance,Business & Finance,industry
economics,en,business-finance,Business & Finance,industry
management,en,business-finance,Business & Finance,industry
fintech,en,business-finance,Business & Finance,industry
supply chain,en,business-finance,Business & Finance,industry
affaires,fr,business-finance,Business & Finance,industry
finance,fr,business-finance,Business & Finance,industry
banque,fr,business-finance,Business & Finance,industry
comptabilite,fr,business-finance,Business & Finance,industry
marketing,fr,business-finance,Business & Finance,industry
ventes,fr,business-finance,Business & Finance,industry
conseil,fr,business-finance,Business & Finance,industry
economie,fr,business-finance,Business & Finance,industry
gestion,fr,business-finance,Business & Finance,industry
chaine d'approvisionnement,fr,business-finance,Business & Finance,industry
negocios,es,business-finance,Business & Finance,industry
finanzas,es,business-finance,Business & Finance,industry
banca,es,business-finance,Business & Finance,industry
contabilidad,es,business-finance,Business & Finance,industry
marketing,es,business-finance,Business & Finance,industry
ventas,es,business-finance,Business & Finance,industry
consultoria,es,business-finance,Business & Finance,industry
economia,es,business-finance,Business & Finance,industry
gestion,es,business-finance,Business & Finance,industry
cadena de suministro,es,business-finance,Business & Finance,industry
negocios,pt,business-finance,Business & Finance,industry
financas,pt,business-finance,Business & Finance,industry
bancario,pt,business-finance,Business & Finance,industry
contabilidade,pt,business-finance,Business & Finance,industry
marketing,pt,business-finance,Business & Finance,industry
vendas,pt,business-finance,Business & Finance,industry
consultoria,pt,business-finance,Business & Finance,industry
economia,pt,business-finance,Business & Finance,industry
gestao,pt,business-finance,Business & Finance,industry
cadeia de suprimentos,pt,business-finance,Business & Finance,industry
health,en,health-sciences,Healthcare & Sciences,industry
healthcare,en,health-sciences,Healthcare & Sciences,industry
medical,en,health-sciences,Healthcare & Sciences,industry
medicine,en,health-sciences,Healthcare & Sciences,industry
nursing,en,health-sciences,Healthcare & Sciences,industry
public health,en,health-sciences,Healthcare & Sciences,industry
biology,en,health-sciences,Healthcare & Sciences,industry
chemistry,en,health-sciences,Healthcare & Sciences,industry
pharmacy,en,health-sciences,Healthcare & Sciences,industry
science,en,health-sciences,Healthcare & Sciences,industry
biotechnology,en,health-sciences,Healthcare & Sciences,industry
sante,fr,health-sciences,Healthcare & Sciences,industry
medical,fr,health-sciences,Healthcare & Sciences,industry
medecine,fr,health-sciences,Healthcare & Sciences,industry
soins infirmiers,fr,health-sciences,Healthcare & Sciences,industry
sante publique,fr,health-sciences,Healthcare & Sciences,industry
biologie,fr,health-sciences,Healthcare & Sciences,industry
chimie,fr,health-sciences,Healthcare & Sciences,industry
pharmacie,fr,health-sciences,Healthcare & Sciences,industry
science,fr,health-sciences,Healthcare & Sciences,industry
biotechnologie,fr,health-sciences,Healthcare & Sciences,industry
salud,es,health-sciences,Healthcare & Sciences,industry
sanitario,es,health-sciences,Healthcare & Sciences,industry
medico,es,health-sciences,Healthcare & Sciences,industry
medicina,es,health-sciences,Healthcare & Sciences,industry
enfermeria,es,health-sciences,Healthcare & Sciences,industry
salud publica,es,health-sciences,Healthcare & Sciences,industry
biologia,es,health-sciences,Healthcare & Sciences,industry
quimica,es,health-sciences,Healthcare & Sciences,industry
farmacia,es,health-sciences,Healthcare & Sciences,industry
ciencia,es,health-sciences,Healthcare & Sciences,industry
biotecnologia,es,health-sciences,Healthcare & Sciences,industry
saude,pt,health-sciences,Healthcare & Sciences,industry
medico,pt,health-sciences,Healthcare & Sciences,industry
medicina,pt,health-sciences,Healthcare & Sciences,industry
enfermagem,pt,health-sciences,Healthcare & Sciences,industry
saude publica,pt,health-sciences,Healthcare & Sciences,industry
biologia,pt,health-sciences,Healthcare & Sciences,industry
quimica,pt,health-sciences,Healthcare & Sciences,industry
farmacia,pt,health-sciences,Healthcare & Sciences,industry
ciencia,pt,health-sciences,Healthcare & Sciences,industry
biotecnologia,pt,health-sciences,Healthcare & Sciences,industry
education,en,education-training,Education & Training,industry
teaching,en,education-training,Education & Training,industry
teacher,en,education-training,Education & Training,industry
school,en,education-training,Education & Training,industry
university,en,education-training,Education & Training,industry
curriculum,en,education-training,Education & Training,industry
pedagogy,en,education-training,Education & Training,industry
e learning,en,education-training,Education & Training,industry
tutor,en,education-training,Education & Training,industry
lecturer,en,education-training,Education & Training,industry
education,fr,education-training,Education & Training,industry
enseignement,fr,education-training,Education & Training,industry
enseignant,fr,education-training,Education & Training,industry
ecole,fr,education-training,Education & Training,industry
universite,fr,education-training,Education & Training,industry
programme scolaire,fr,education-training,Education & Training,industry
pedagogie,fr,education-training,Education & Training,industry
tuteur,fr,education-training,Education & Training,industry
professeur,fr,education-training,Education & Training,industry
educacion,es,education-training,Education & Training,industry
ensenanza,es,education-training,Education & Training,industry
docente,es,education-training,Education & Training,industry
escuela,es,education-training,Education & Training,industry
universidad,es,education-training,Education & Training,industry
curriculo,es,education-training,Education & Training,industry
pedagogia,es,education-training,Education & Training,industry
tutor,es,education-training,Education & Training,industry
profesor,es,education-training,Education & Training,industry
educacao,pt,education-training,Education & Training,industry
ensino,pt,education-training,Education & Training,industry
professor,pt,education-training,Education & Training,industry
escola,pt,education-training,Education & Training,industry
universidade,pt,education-training,Education & Training,industry
curriculo,pt,education-training,Education & Training,industry
pedagogia,pt,education-training,Education & Training,industry
tutor,pt,education-training,Education & Training,industry
docente,pt,education-training,Education & Training,industry
government,en,government-public,Government & Public Service,industry
public service,en,government-public,Government & Public Service,industry
public policy,en,government-public,Government & Public Service,industry
civic,en,government-public,Government & Public Service,industry
governance,en,government-public,Government & Public Service,industry
diplomacy,en,government-public,Government & Public Service,industry
